Class,Z
CS-275B,-0.05713154806581365
CS-254B,0.5320981823456642
CS-372,-0.4877877970935672
CS-349D,0.01899497034327097
CS-155,0.17833279650811307
CS-336,-0.5861844036541426
CS-254,0.7564002627331528
CS-343D,0.8612103951770036
CS-348C,0.387748210244596
CS-278,0.5554324729488826
CS-325B,0.37470235085521486
CS-261,-0.2781980403855994
CS-247A,0.10742773460757275
CS-522,-0.45263423759752086
CS-448B,-0.4889626111976322
CS-269I,0.1942660510292238
CS-328,-0.11499636940399903
CS-240,-0.25808640910052616
CS-377G,0.06591703150628032
CS-243,-0.5480138750282665
CS-356,0.4582418543450084
CS-129,-0.18605880648241716
CS-327A,-0.29698732818130724
CS-240LX,0.2530733454479465
CS-103,-0.12202449452172637
CS-247S,0.3671512426945784
CS-248B,-0.1068469146990553
CS-528,-0.3435502395480175
CS-106S,-0.023095876640092487
CS-263,0.4361970796395018
CS-124,0.16811376603352599
CS-347,0.2616890479690699
CS-131,-0.6029784998345771
CS-257,-0.11877816002826996
CS-106M,-0.2578228070983083
CS-22A,0.04315826514471641
CS-47,0.043157213814919465
CS-228,-0.12563528853082903
CS-194H,-0.3066339281316229
CS-229,-0.24945696470875098
CS-7,0.41569011344151124
CS-231A,-0.25403617638594334
CS-210B,0.27035869018424674
CS-300,-0.2596547892351476
CS-173A,-0.3885062419477348
CS-348K,0.5487697574858247
CS-106A,0.3989485235742161
CS-529,-0.03819640918688356
CS-206,-0.6634021844385625
CS-255,0.3079912532801703
CS-498C,0.36849219347924406
CS-153,-0.33484894024262396
CS-177,-0.4456859082196226
CS-152,0.1633525093207614
CS-148,-0.01967929248776612
CS-422,0.17414204631927044
CS-143,0.09065805355716682
CS-224S,-0.5720814214661343
CS-197,0.1262323028037041
CS-194,-0.15534117179939827
CS-281,0.19474012936756466
CS-29N,0.9791274513420198
CS-197C,-0.5055490976181466
CS-273C,0.4603749866847351
CS-83N,0.14467669317790535
CS-259Q,0.30626699676485614
CS-198B,0.7186390732402456
CS-237A,-0.5580276404174013
CS-224V,-0.16044511806571202
CS-275A,0.683751109045767
CS-279,-0.26366921387112835
CS-212,-0.3480538258204615
CS-225A,-0.4938184471117746
CS-235,-0.2756689100988273
CS-205L,0.026808311126599177
CS-147,-0.35801111722812246
CS-476A,0.4964252709849315
CS-349H,0.12325548781249011
CS-432,-0.40191969894518687
CS-190,0.990531010221385
CS-107E,0.6702147076240401
CS-355,0.29710644997234925
CS-227B,-0.6115926280080172
CS-377Q,0.14394740005082018
CS-224C,0.2591569440153168
CS-224W,0.12599477299740905
CS-329T,-0.5019238604302194
CS-106E,-0.15225488165010795
CS-361,0.23112363446316742
CS-256,0.025423733803124203
CS-295,0.2062525579622779
CS-247G,-0.1512322271597193
CS-221,-0.18338556800176037
CS-161,0.41568342065537583
CS-248A,0.16625792959067395
CS-151,-0.552469040207529
CS-498D,0.22025890179351362
CS-309A,0.17274417358496452
CS-52,-0.2629754856198224
CS-210A,0.12642713509862732
CS-49N,-0.5387800685407445
CS-224N,-0.019756503350764044
CS-273B,-0.6713638538718798
CS-298,0.9654006553844368
CS-233,-0.22583464317583615
CS-348I,-0.02946432468374559
CS-366,0.36619383815836304
CS-270,-0.2889810207633853
CS-224R,-0.27584120894095243
CS-275,-0.5613568912045376
CS-242,0.18953560843965286
CS-154,-0.3832648087474615
CS-375,-0.6637618386887719
CS-369O,0.4825088548429969
CS-272,0.41919752324567233
CS-239,0.27071133073274894
CS-112,-0.3063942943249498
CS-326,-0.10713480779476149
CS-237B,-0.22049401277709046
CS-168,-0.08963400460534492
CS-244B,-0.5071489585791652
CS-24,-0.0690342749160337
CS-157,-0.25977807114874846
CS-470,0.2489461582019934
CS-44N,-0.3443166294618327
CS-230,-0.08783026436261611
CS-265,0.3777218354367224
CS-229M,-0.2083857710238125
CS-109,0.4968001607483588
CS-145,-0.5126125939644253
CS-377U,-0.12495339426320079
CS-181W,-0.1998275481558124
CS-251,0.3595360575092124
CS-246,-0.384547190061242
CS-106AX,0.6287409177618476
CS-339R,-0.5742364579339525
CS-108,-0.26306221911889127
CS-238,0.2763991367962875
CS-223A,-0.4003790648750901
CS-111,0.6928192378456448
CS-241,-0.43913051355115634
CS-181,-0.04558442079971268
CS-144,0.193813969172104
CS-448I,0.2143974188476031
CS-330,0.1797435479951124
CS-247B,-0.2965846197121331
CS-140E,-0.2922402816712141
CS-329M,0.4500223041869282
CS-149,0.41887382117274674
CS-547,-0.018144056645746844
CS-249I,0.6653084803250666
CS-342,0.028012411511333782
CS-106L,0.27958595118242996
CS-31N,0.25554920799998915
CS-331,0.9912278521357545
CS-106B,0.31258455178000066
CS-202,0.32585507630151644
CS-236,-0.0851226488503516
CS-198,0.3890238419466437
CS-105,-0.4315453158416086
CS-170,-0.03837239974846515
CS-194W,-0.4682615280175673
CS-274,0.01939910956189058
CS-193Q,-0.3758763651555801
CS-337,-0.7335583355428068
CS-107,0.43029657441865904
CS-244,-0.5071489585791652
